id,thesession.org_id,album_id,track_num,title,tune_num
1,150,1,1,Paddy Fahy's,1
2,139,1,2,The Kerfunken,1
3,841,1,3,Paul Ha'penny,1
4,841,1,3,The Garden Of Butterflies,2
5,1423,1,3,The Broken Pledge,3
6,1565,1,3,The Mother And Child,4
7,113,1,3,Toss The Feathers,5
8,2212,1,4,John Naughton's,1
9,1402,1,4,Another Paddy Fahy,2
10,3867,1,5,The Cat In The Corner,1
11,2212,1,5,John Naughton's,2
12,1499,1,6,The Old Bush,1
13,189,1,6,The Reel With The Burl,2
14,11237,1,7,The Lament For Limerick,1
15,77,1,8,My Love Is In America,1
16,161,1,9,Tell Her I Am,1
17,160,1,9,Gallagher's Frolics,2
18,500,1,10,Rolling In The Barrel,1
19,69,1,10,The Morning Dew,2
20,2,1,11,The Bucks Of Oranmore,1
21,132,1,11,Eileen Curran,2
22,-1,1,11,Jimmy On The Moor,3
23,3088,1,12,Peggy's,1
24,162,2,1,Bill Malley's,1
25,163,2,1,Kilnamona,2
26,5408,2,2,Cloonagroe,1
27,56,2,2,West Clare,2
28,5381,2,3,O'Connell's March,1
29,3453,2,3,Galway Bay,2
30,131,2,3,The Banshee's Wail Over The Mangle Pit,3
31,755,2,4,Hole In The Hedge,1
32,414,2,4,Seamus Cooley's,2
33,3056,2,5,Bony Crossing The Alps,1
34,3083,2,5,The Maids Of Feakle,2
35,2337,2,6,Kitty Come Down To Limerick,1
36,953,2,6,Catherine Kelly's,2
37,86,2,7,Rakish Paddy,1
38,8594,2,8,Pat Canny's,1
39,474,2,8,Come West Along The Road,2
40,1637,2,9,Fair Haired Molly,1
41,539,2,9,Farewell To Milltown,2
42,1580,2,10,Lark's March,1
43,252,2,10,The Kilfenora,2
44,12,2,10,The Cliffs Of Moher,3
45,581,2,11,The Graf Spey,1
46,1354,2,11,The Boys Of Balisodare,2
47,227,2,12,The Crooked Road,1
48,482,2,12,The Foxhunter's,2
49,1307,2,13,Lucy Farr's,1
50,186,3,1,Goodbye Miss Goodavich,1
51,394,3,1,Rosie's,2
52,457,3,2,The Floating Crowbar,1
53,554,3,2,McGlinchey's,2
54,2408,3,2,The Almost,3
55,91,3,3,The Butlers Of Glen Avenue,1
56,335,3,3,Sliabh Russell,2
57,93,3,3,Cathal McConnell's,3
58,11049,3,4,January Snows,1
59,699,3,4,Laura Lynn Cunningham,2
60,746,3,5,The Miller Of Drohan,1
61,129,3,6,Dr. Gilbert's,1
62,538,3,6,Devils Of Dublin,2
63,966,3,6,Black Pat's,3
64,1336,3,7,Autumn Child,1
65,572,3,7,Heaton Chapel,2
66,3576,3,8,Stolen Apples,1
67,5031,3,9,"Taylor Bar, 4am",1
68,5347,3,9,Ceol Na Mara,2
69,496,3,10,Lafferty's,1
70,433,3,10,The Crock Of Gold,2
71,4499,3,10,Lady Birr,3
72,477,3,10,The Abbey,4
73,1055,3,11,O'Carolon's Welcome,1
74,500,3,11,Rolling In The Barrel,2
75,51,4,1,Johnny Boyle's,1
76,54,4,1,King Of The Pipers,2
77,237,4,2,The Dark Haired Lass,1
78,3523,4,2,Biddy From Muckross,2
79,925,4,2,Sean Maguire's,3
80,-1,4,3,"'St�r, A St�r, A Ghr�",1
81,1865,4,4,Con McGinley's,1
82,3193,4,4,The Newfoundland,2
83,-1,4,5,T� M� 'Mo Shui,1
84,4182,4,6,An Gas�r Mor,1
85,207,4,6,Bunker Hill,2
86,595,4,6,The Dogs Among The Bushes,3
87,-1,4,7,Molly Na GCuach N� Chuilleanain,1
88,202,4,8,Jenny Picking Cockles,1
89,3211,4,8,Farewell To Leitrim,2
90,2120,4,8,John Doherty's,3
91,-1,4,9,Ar Bhruach Na Carraige B�ine,1
92,130,4,10,The Dance Of The Honeybees,1
93,-1,4,11,Blackwaterside,1
94,1885,4,12,A Tune For Frankie,1
95,347,5,1,Martin Wynne's,1
96,369,5,1,The Longford Tinker,2
97,-1,5,2,Two Jigs,1
98,52,5,2,The Kid On The Mountain,2
99,325,5,3,Patsy Geary's,1
100,1706,5,3,Coleman Cross,2
101,9782,5,4,Sixteen Come Next Sunday,1
102,1714,5,5,Michael Gorman's,1
103,249,5,5,The Road To Lisdoonvarna,2
104,1,5,5,Cooley's,3
105,1552,5,6,Lucy Campbell,1
106,883,5,6,The Laurel Tree,2
107,-1,5,7,Fionnghuala,1
108,33,5,8,Farewell To Erin,1
109,55,5,9,The Kesh,1
110,635,5,9,Give Us A Drink Of Water,2
111,585,5,9,The Flower Of The Flock,3
112,390,5,9,The Famous Ballymote,4
113,151,5,10,The Tar Road To Sligo,1
114,832,5,10,Paddy Clancy's,2
115,120,5,11,The Maids Of Mitchelstown,1
116,-1,5,12,I Wish My Love Was A Red Red Rose,1
117,406,5,13,Garret Barry's,1
118,2,5,13,The Bucks Of Oranmore,2
119,828,5,14,The Morning Star,1
120,3369,5,14,The Fishermn's Lilt,2
121,363,5,14,The Drunken Landlady,3
122,10521,5,15,Do You Love An Apple?,1
123,661,5,16,Roger Sherlock's,1
124,8,5,16,Around The World,2
125,719,5,16,Rip The Calico,3
126,347,5,16,Martin Wynne's,4
127,1522,5,16,The Enchanted Lady,5
128,616,5,16,The Holy Land,6
129,192,6,1,Tommy Peoples',1
130,193,6,1,The Windmill,2
131,40,6,1,Fintan McManus's,3
132,-1,6,2,Br�d �g Na Mh�ile,1
133,654,6,3,Fermanagh,1
134,1621,6,3,Donegal,2
135,201,6,3,Johnny Doherty's,3
136,1114,6,3,King George IV,4
137,-1,6,4,An Mhaighdan Mhara,1
138,838,6,5,Andy De Jarlis,1
139,780,6,5,Ingonish,2
140,2625,6,5,Mrs. McGhee,3
141,7240,6,6,The Humours Of Andytown,1
142,361,6,6,Kylebrack Rambler,2
143,1744,6,6,The Gladstone,3
144,647,6,7,D�lam�n,1
145,594,6,8,The Jug Of Punch,1
146,1268,6,9,Glory,1
147,1265,6,9,The Heathery Cruach,2
148,-1,6,10,An Cail�n Gealach,1
149,2514,6,11,Drumnagarry,1
150,3911,6,11,Pirrie Wirrie,2
151,3895,6,11,Big John's,3
152,-1,6,12,Aingeal An Oile,1
153,-1,6,12,Island Angel,2
154,1783,7,1,Pretty Peg,1
155,2756,7,1,New Ships A Sailing,2
